Category,Id
cbb,test-img-2125.jpg
cgm,test-img-185.jpg
healthy,test-img-209.jpg
cmd,test-img-639.jpg
cgm,test-img-2210.jpg
cbsd,test-img-916.jpg
cmd,test-img-746.jpg
cgm,test-img-2163.jpg
cmd,test-img-348.jpg
cmd,test-img-895.jpg
cbsd,test-img-3757.jpg
cgm,test-img-3699.jpg
cgm,test-img-3640.jpg
cbsd,test-img-1392.jpg
cmd,test-img-1823.jpg
cmd,test-img-3331.jpg
cgm,test-img-2588.jpg
cgm,test-img-1999.jpg
cbsd,test-img-2450.jpg
cgm,test-img-2314.jpg
cgm,test-img-2530.jpg
cmd,test-img-2773.jpg
cmd,test-img-325.jpg
cbsd,test-img-1923.jpg
cbsd,test-img-1329.jpg
cgm,test-img-2536.jpg
cmd,test-img-2663.jpg
cgm,test-img-1347.jpg
healthy,test-img-3088.jpg
cgm,test-img-697.jpg
cgm,test-img-2096.jpg
cbb,test-img-1540.jpg
cgm,test-img-1953.jpg
cgm,test-img-1200.jpg
cbb,test-img-2244.jpg
cgm,test-img-1768.jpg
cmd,test-img-812.jpg
cmd,test-img-941.jpg
cgm,test-img-3447.jpg
cmd,test-img-1635.jpg
cgm,test-img-1389.jpg
cbsd,test-img-1403.jpg
cmd,test-img-3089.jpg
cbsd,test-img-3038.jpg
cgm,test-img-494.jpg
cmd,test-img-3087.jpg
cgm,test-img-417.jpg
cmd,test-img-3419.jpg
cgm,test-img-3189.jpg
cgm,test-img-2727.jpg
cgm,test-img-3104.jpg
healthy,test-img-3097.jpg
cmd,test-img-1280.jpg
cmd,test-img-1193.jpg
cmd,test-img-733.jpg
healthy,test-img-893.jpg
cbsd,test-img-3136.jpg
cmd,test-img-704.jpg
cmd,test-img-989.jpg
cgm,test-img-744.jpg
cgm,test-img-817.jpg
cbsd,test-img-2913.jpg
cgm,test-img-1108.jpg
cmd,test-img-3291.jpg
cgm,test-img-3148.jpg
cmd,test-img-896.jpg
cgm,test-img-3608.jpg
cgm,test-img-1447.jpg
cbb,test-img-1946.jpg
cgm,test-img-1757.jpg
cmd,test-img-272.jpg
cmd,test-img-1557.jpg
cgm,test-img-2824.jpg
cbsd,test-img-3026.jpg
cgm,test-img-1431.jpg
cbsd,test-img-1171.jpg
cbsd,test-img-1835.jpg
cgm,test-img-957.jpg
cgm,test-img-2751.jpg
cgm,test-img-2772.jpg
cbb,test-img-488.jpg
cbsd,test-img-3273.jpg
cgm,test-img-2600.jpg
cbsd,test-img-2252.jpg
cbb,test-img-3270.jpg
cgm,test-img-2502.jpg
healthy,test-img-1571.jpg
cmd,test-img-1287.jpg
cgm,test-img-2813.jpg
cbsd,test-img-2903.jpg
cmd,test-img-59.jpg
cbsd,test-img-1438.jpg
cgm,test-img-2910.jpg
cmd,test-img-3761.jpg
cgm,test-img-776.jpg
cmd,test-img-2297.jpg
cmd,test-img-2802.jpg
cmd,test-img-714.jpg
cgm,test-img-3096.jpg
cmd,test-img-972.jpg
cgm,test-img-235.jpg
cmd,test-img-1502.jpg
cbsd,test-img-69.jpg
cgm,test-img-2589.jpg
cgm,test-img-894.jpg
cmd,test-img-752.jpg
cmd,test-img-1588.jpg
cbb,test-img-490.jpg
cgm,test-img-2843.jpg
cmd,test-img-868.jpg
cgm,test-img-3246.jpg
cmd,test-img-253.jpg
healthy,test-img-102.jpg
cgm,test-img-1160.jpg
cgm,test-img-3158.jpg
cgm,test-img-1205.jpg
cgm,test-img-2972.jpg
cgm,test-img-2825.jpg
cgm,test-img-2254.jpg
cgm,test-img-2985.jpg
cgm,test-img-1907.jpg
cgm,test-img-2418.jpg
cbb,test-img-2207.jpg
cmd,test-img-3106.jpg
cmd,test-img-1633.jpg
cbb,test-img-491.jpg
cgm,test-img-2492.jpg
cgm,test-img-3153.jpg
cmd,test-img-3327.jpg
cbb,test-img-3354.jpg
cgm,test-img-2806.jpg
cgm,test-img-2022.jpg
cmd,test-img-2560.jpg
cbsd,test-img-323.jpg
healthy,test-img-690.jpg
cmd,test-img-2661.jpg
cgm,test-img-2484.jpg
